Token ID,Bullish Bear Rating,Vessel Type,Vessel Frequency,Class,Class Frequency,Weapon,Weapon Frequency,Secondary Weapon,Secondary Frequency,Shield,Shield Frequency,Propulsion,Propulsion Frequency,Material,Material Frequency,Extra,Extra Frequency
657,4770,Dreadnought,350,Ticonderoga,302,Electron Beam,525,Positron Torpedo,576,Quasar,728,Quantum The Destroyer Fusion-Fragment of Scorpio,7,Gold,559,Killer Drone,962
658,6491,Tanker,343,Rutherford,352,Photon Beam,588,Kinetic Energy Blast,610,Gravitational,689,Fission-Electric,407,Silicon Carbide,352,Disco Light,960
659,660,Tug of Gemini,7,Nimitz,316,Gravity Canon of Virgo,39,Kinetic Energy Blast,610,Doomsday The Benevolent Quasar of Leo,1,Fission-Fragment,352,Tungsten Carbide,571,Anti-gravitational The Benevolent Cocktail Bar of Pisces +1,3
660,5726,Cruiser,363,Cavour of Scorpio,11,Proton Beam,567,Gravimetric Torpedo,540,Nuclear,711,Infinite Improbability Drive of Virgo,83,Beryllium,383,Warp Core,962
661,2953,Battleship,328,Liaoning,323,Einstein-Rosen Voyager Photon Beam of Gemini +1,4,Electromagnetic Pulse Bomb of Cancer,79,Gamma of Tau Ceti,29,Fission-Electric,407,Titanium,382,Killer Drone,962
662,2096,Destroyer,321,Cavour of Wolf 1961,10,Electron Beam of Gliese 667C,46,Positron Torpedo,576,Lightning The Powerful Dark Energy of Virgo +1,5,Nuclear Fusion of Pisces,74,Polystyrene,404,Tractor Beam,917
663,575,Courier of Tau Ceti,7,Einstein-Rosen The Tyrant Missouri of Gemini +1,2,Plasma Beam,578,Spatial Torpedo,608,Plasma,737,Kryptonite Thruster,405,Titanium,382,Anti-gravitational Havoc Cocktail Bar of Pisces +1,7
664,2216,Supply Ship,359,Admiral Kuznetsov,328,Proton Beam,567,Hydrogen Bomb,569,Overclocked Adventurer Plasma of Sagittarius +1,2,Fusion-Electric,384,Adamantium,407,Tractor Beam,917
665,6750,Medical,325,Dolphin of Tau Ceti,25,Particle Beam,574,Thermonuclear Bomb of Tau Ceti,60,Plasma,737,Nuclear Fusion,365,Carbon Fibre,379,Killer Drone,962
666,3884,Supply Ship,359,Quantum Ultimatum Cavour of Scorpio,3,Pulse Canon,612,Hydrogen Bomb,569,Nuclear,711,Infinite Improbability Drive,354,Polystyrene,404,Tractor Beam,917
667,2723,Dreadnought,350,Dolphin,345,Flaming The Tyrant Proton Beam of Gliese 667C +1,3,Photon Torpedo,582,Nuclear,711,Solid Fuel Rocket,353,Silicon Carbide,352,Tractor Beam,917
668,1448,Scout Ship,335,Liaoning of Capricorn,33,Starburst Stream,610,Thermonuclear Bomb,514,Quantum of Tau Ceti,15,Supercosmic Voyager Nuclear Pulse of Aquarius,5,Beryllium of Aries,24,Escape Pod of Capricorn,92
669,7146,Battleship,328,Soryu,338,Plasma Beam,578,Photon Torpedo of Wolf 1961,34,Quasar,728,Nuclear Pulse of Aquarius,79,Titanium,382,Killer Drone,962
670,4058,Medical,325,Missouri,309,Supercosmic Adventurer Tetryon Canon of Aquarius,7,Hydrogen Bomb,569,Quantum,709,Light Sail of Taurus,79,Vibranium,377,Tractor Beam,917
671,6953,Transport Ship,346,Dolphin,345,Starburst Stream,610,Rail Gun,551,Gamma,755,Infinite Improbability Drive,354,Vibranium of Tau Ceti,42,Cocktail Bar of Gemini,44
672,646,Galactic Deluxe Twin Bed Supply Ship of Wolf 1961,1,Supercosmic The Indestructable Kongo of Aquarius,1,Tetryon Canon,578,Hydrogen Bomb,569,Quantum of Sagittarius,11,Alcubierre Drive,378,Adamantium,407,Disco Light,960
673,1197,Einstein-Rosen Havoc Frigate of Gemini +1,3,Cavour,328,Doomsday The Benevolent Particle Beam of Leo,3,Kinetic Energy Blast,610,Gravitational,689,Alcubierre Drive,378,Carbon Fibre,379,Tractor Beam,917
674,6018,Medical,325,Nimitz of Libra,26,Plasma Beam,578,Kinetic Energy Blast,610,Electromagnetic,678,Alcubierre Drive of Tau Ceti,142,Silicon Carbide,352,Warp Core of Cancer,74
675,5959,Tug,343,Brandenburg of Gemini,15,Electron Beam,525,Kinetic Energy Blast,610,Gamma,755,Fusion-Electric,384,Diamond,387,Escape Pod of Tau Ceti,79
676,7089,Minelayer,350,Soryu,338,Photon Beam,588,Photon Torpedo of Virgo,38,Quasar,728,Fission-Fragment,352,Titanium,382,Warp Core,962
677,5141,Supply Ship of Aries,6,Admiral Kuznetsov,328,Soliton Canon,568,Thermonuclear Bomb,514,Plasma,737,Antimatter Rocket of Aries,162,Graphene,349,Warp Core,962
678,7333,Courier,326,Soryu,338,Pulse Canon,612,Hydrogen Bomb,569,Gamma,755,Magnetic Sail,378,Beryllium of Capricorn,42,Escape Pod,930
679,2822,Tug,343,Enterprise,319,Proton Beam,567,Rail Gun,551,Quasar of Leo,10,Einstein-Rosen Voyager Magnetic Sail of Gemini +1,5,Polystyrene,404,Tractor Beam of Sagittarius,29
680,3331,Transport Ship,346,Dolphin,345,Gravity Canon,567,Positron Torpedo,576,Gravitational,689,Light Sail,370,Gold,559,Supercosmic The Benevolent Killer Drone of Aquarius,2
681,1599,Courier,326,Anti-gravitational The Tyrant Missouri of Pisces +1,2,Particle Beam,574,Electromagnetic Pulse Bomb of Cancer,79,Quantum,709,Kryptonite Thruster,405,Gold,559,Escape Pod of Capricorn,92
682,7949,Minesweeper,339,Brandenburg,320,Electron Beam,525,Fractional Orbital Bombardment,585,Quantum,709,Solid Fuel Rocket of Cancer,147,Adamantium,407,Disco Light,960
683,6729,Courier,326,Dolphin of Libra,22,Proton Beam of Libra,76,Gravimetric Torpedo,540,Gamma,755,Magnetic Sail,378,Gold,559,Cocktail Bar,978
684,4922,Tug,343,Soryu,338,Pulse Canon,612,Electromagnetic Pulse Bomb,560,Gamma,755,Kryptonite Thruster,405,Quantum Adventurer Wooden of Scorpio,8,Escape Pod,930
685,5683,Courier,326,Nimitz of Libra,26,Soliton Canon,568,Thermonuclear Bomb,514,Quasar of Aries,24,Fusion-Electric of Libra,158,Gold,559,Killer Drone,962
686,6072,Supply Ship,359,Soryu,338,Pulse Canon,612,Hydrogen Bomb,569,Quantum of Leo,16,Alcubierre Drive of Tau Ceti,142,Polystyrene,404,Disco Light,960
687,1341,Medical of Wolf 1961,10,Enterprise,319,Plasma Beam,578,Spatial Torpedo,608,Quasar,728,Quantum Havoc Fusion-Fragment of Scorpio,8,Vibranium,377,Flaming The Destroyer Cocktail Bar of Gliese 667C +1,6
688,1226,Supply Ship,359,Admiral Kuznetsov,328,Tetryon Canon,578,Spatial Torpedo of Tau Ceti,99,Einstein-Rosen Deluxe Twin Bed Dark Energy of Gemini +1,3,Fission-Electric,407,Adamantium,407,Doomsday Voyager Killer Drone of Leo,6
689,1391,Anti-gravitational Voyager Minesweeper of Pisces +1,1,Admiral Kuznetsov,328,Proton Beam,567,Fractional Orbital Bombardment,585,Gravitational of Aquarius,8,Solid Fuel Rocket of Cancer,147,Beryllium,383,Escape Pod of Libra,71
690,94,Frigate of Gemini,5,Missouri,309,Particle Beam,574,Spatial Torpedo of Pisces,40,Anti-gravitational The Destroyer Dark Energy of Pisces +1,2,Galactic Adventurer Ion Thruster of Wolf 1961,6,Carbon Fibre,379,Anti-gravitational Catastrophe Cocktail Bar of Pisces +1,6
691,5586,Tanker,343,Virginia of Virgo,9,Gravity Canon,567,Positron Torpedo,576,Quasar,728,Solid Fuel Rocket of Cancer,147,Carbon Fibre,379,Disco Light,960
692,7960,Medical,325,Virginia,305,Tetryon Canon,578,Rail Gun,551,Gamma,755,Antimatter Rocket of Aries,162,Graphene,349,Tractor Beam,917
693,4945,Minesweeper of Gliese 667C,5,Ticonderoga,302,Proton Beam,567,Spatial Torpedo,608,Plasma,737,Fission-Fragment of Capricorn,172,Vibranium,377,Killer Drone,962
694,2892,Supercosmic Deluxe Twin Bed Courier of Aquarius,1,Koni,292,Proton Beam,567,Rail Gun of Cancer,73,Plasma,737,Ion Thruster,386,Silicon Carbide,352,Warp Core,962
695,3620,Scout Ship,335,Koni,292,Electron Beam,525,Electromagnetic Pulse Bomb of Cancer,79,Plasma,737,Flaming Ultimatum Fission-Electric of Gliese 667C +1,8,Vibranium of Cancer,35,Warp Core,962
696,3250,Tug,343,Enterprise,319,Electron Beam,525,Gravimetric Torpedo,540,Dark Energy,707,Lightning The Destroyer Infinite Improbability Drive of Virgo +1,5,Tungsten Carbide,571,Escape Pod,930
697,1436,Transport Ship,346,Koni,292,Particle Beam,574,Einstein-Rosen The Powerful Fractional Orbital Bombardment of Gemini +1,5,Electromagnetic,678,Subatomic The Tyrant Light Sail of Taurus,5,Wooden,407,Escape Pod,930
698,1329,Anti-gravitational Adventurer Medical of Pisces +1,1,Liaoning of Capricorn,33,Soliton Canon,568,Positron Torpedo,576,Quantum of Libra,15,Nuclear Fusion,365,Wooden,407,Cocktail Bar,978
699,7645,Tanker,343,Dolphin,345,Particle Beam,574,Thermonuclear Bomb,514,Gravitational,689,Kryptonite Thruster,405,Silicon Carbide,352,Warp Core of Cancer,74
700,3772,Cruiser,363,Kongo,307,Lightning The Benevolent Gravity Canon of Virgo +1,6,Rail Gun,551,Gamma,755,Nuclear Pulse,390,Vibranium,377,Escape Pod of Tau Ceti,79
701,855,Subatomic Ultimatum Carrier of Taurus,1,Kirov,314,Overclocked Ultimatum Starburst Stream of Sagittarius +1,4,Positron Torpedo,576,Gamma of Sagittarius,9,Light Sail,370,Tungsten Carbide,571,Cocktail Bar,978
702,3086,Science Vessel,336,Barracuda,297,Gravity Canon,567,Fractional Orbital Bombardment,585,Plasma of Virgo,13,Anti-gravitational Catastrophe Nuclear Fusion of Pisces +1,4,Titanium,382,Killer Drone,962
703,3768,Battleship,328,Liaoning of Tau Ceti,26,Gravity Canon,567,Rail Gun,551,Quasar,728,Solid Fuel Rocket,353,Polystyrene,404,Lightning Voyager Tractor Beam of Virgo +1,7
704,7780,Science Vessel,336,Incheon,306,Particle Beam of Tau Ceti,74,Positron Torpedo,576,Quasar,728,Antimatter Rocket,395,Gold,559,Warp Core,962
705,5692,Cargo of Libra,10,Dolphin,345,Plasma Beam,578,Photon Torpedo,582,Gamma,755,Antimatter Rocket of Aries,162,Copper,402,Tractor Beam,917
706,7781,Supply Ship,359,Brandenburg,320,Gravity Canon,567,Rail Gun of Cancer,73,Nuclear,711,Alcubierre Drive,378,Tungsten Carbide,571,Cocktail Bar,978
707,3100,Tug of Wolf 1961,3,Dolphin,345,Particle Beam,574,Hydrogen Bomb,569,Quantum The Tyrant Plasma of Scorpio,2,Solid Fuel Rocket,353,Silicon Carbide,352,Tractor Beam,917
708,3006,Carrier,289,Soryu,338,Starburst Stream,610,Rail Gun,551,Quasar,728,Solid Fuel Rocket,353,Copper,402,Anti-gravitational The Indestructable Cocktail Bar of Pisces +1,4
709,981,Cargo of Tau Ceti,12,Subatomic Deluxe Twin Bed Barracuda of Taurus,1,Soliton Canon,568,Rail Gun of Sagittarius,40,Electromagnetic,678,Fusion-Electric,384,Doomsday Havoc Wooden of Leo,6,Tractor Beam,917
710,4882,Carrier,289,Incheon,306,Photon Beam,588,Quantum Voyager Positron Torpedo of Scorpio,6,Electromagnetic,678,Nuclear Fusion of Pisces,74,Gold,559,Cocktail Bar,978
711,6356,Courier,326,Admiral Kuznetsov,328,Starburst Stream,610,Thermonuclear Bomb,514,Gravitational,689,Fusion-Electric,384,Adamantium,407,Cocktail Bar,978
712,837,Minesweeper,339,Koni,292,Photon Beam of Gemini,30,Quantum Voyager Positron Torpedo of Scorpio,6,Overclocked Catastrophe Nuclear of Sagittarius +1,2,Fission-Fragment,352,Carbon Fibre of Aquarius,44,Killer Drone,962
713,7006,Minesweeper,339,Dolphin,345,Pulse Canon of Leo,36,Electromagnetic Pulse Bomb,560,Gravitational,689,Alcubierre Drive,378,Wooden,407,Warp Core,962
714,7211,Transport Ship,346,Soryu,338,Starburst Stream of Cancer,62,Thermonuclear Bomb,514,Gravitational,689,Fission-Electric,407,Adamantium,407,Tractor Beam of Gliese 667C,43
715,3914,Minelayer of Gliese 667C,3,Ticonderoga of Virgo,13,Plasma Beam of Aries,65,Spatial Torpedo,608,Quasar,728,Infinite Improbability Drive,354,Graphene,349,Escape Pod,930
716,5992,Scout Ship,335,Missouri,309,Starburst Stream,610,Thermonuclear Bomb,514,Electromagnetic of Capricorn,20,Fission-Fragment,352,Gold,559,Cocktail Bar,978
717,322,Cargo,327,Enterprise of Cancer,29,Electron Beam,525,Einstein-Rosen Ultimatum Fractional Orbital Bombardment of Gemini +1,4,Plasma of Aquarius,8,Einstein-Rosen Adventurer Magnetic Sail of Gemini +1,12,Beryllium,383,Tractor Beam of Pisces,36
718,4997,Destroyer,321,Nimitz of Aries,19,Pulse Canon,612,Photon Torpedo,582,Electromagnetic of Gliese 667C,7,Fission-Fragment,352,Diamond,387,Cocktail Bar,978
719,154,Tanker,343,Ticonderoga,302,Gravity Canon,567,Positron Torpedo of Scorpio,45,Anti-gravitational The Benevolent Gravitational of Pisces +1,2,Einstein-Rosen Ultimatum Magnetic Sail of Gemini +1,8,Adamantium,407,Supercosmic Deluxe Twin Bed Disco Light of Aquarius,6
720,891,Transport Ship,346,Kongo of Taurus,8,Tetryon Canon,578,Spatial Torpedo,608,Galactic Voyager Quasar of Wolf 1961,1,Flaming The Powerful Fission-Electric of Gliese 667C +1,9,Polystyrene,404,Warp Core,962
721,453,Galactic Deluxe Twin Bed Cargo of Wolf 1961,1,Missouri of Virgo,18,Pulse Canon of Tau Ceti,79,Positron Torpedo,576,Dark Energy,707,Flaming Catastrophe Fission-Electric of Gliese 667C +1,9,Titanium,382,Escape Pod of Capricorn,92
722,813,Supercosmic Havoc Science Vessel of Aquarius,2,Rutherford,352,Starburst Stream,610,Flaming Voyager Kinetic Energy Blast of Gliese 667C +1,4,Electromagnetic,678,Fusion-Electric of Libra,158,Copper of Tau Ceti,40,Killer Drone,962
723,3892,Frigate,328,Incheon of Aries,38,Electron Beam of Taurus,46,Rail Gun,551,Dark Energy,707,Overclocked The Benevolent Kryptonite Thruster of Sagittarius +1,11,Silicon Carbide,352,Warp Core,962
724,5283,Cruiser of Aries,8,Rutherford,352,Photon Beam,588,Rail Gun of Aquarius,37,Electromagnetic,678,Solid Fuel Rocket,353,Tungsten Carbide,571,Killer Drone,962
725,6368,Cargo,327,Virginia,305,Tetryon Canon,578,Positron Torpedo,576,Nuclear,711,Magnetoplasmadynamic Thruster,400,Adamantium,407,Warp Core,962
726,1260,Cargo,327,Galactic The Destroyer Cavour of Wolf 1961,1,Tetryon Canon of Aquarius,37,Positron Torpedo,576,Nuclear,711,Quantum Ultimatum Fusion-Fragment of Scorpio,5,Titanium,382,Disco Light,960
727,7819,Medical,325,Dolphin,345,Plasma Beam,578,Hydrogen Bomb of Aries,83,Nuclear,711,Nuclear Pulse,390,Graphene,349,Warp Core,962
728,760,Supply Ship,359,Lightning Ultimatum Virginia of Virgo +1,2,Photon Beam,588,Photon Torpedo,582,Quantum,709,Doomsday The Destroyer Magnetoplasmadynamic Thruster of Leo,8,Gold,559,Tractor Beam,917
729,459,Anti-gravitational Havoc Cruiser of Pisces +1,1,Nimitz,316,Einstein-Rosen Deluxe Twin Bed Soliton Canon of Gemini +1,3,Fractional Orbital Bombardment of Scorpio,44,Plasma,737,Magnetoplasmadynamic Thruster,400,Tungsten Carbide,571,Warp Core,962
730,7881,Tug,343,Incheon,306,Particle Beam,574,Spatial Torpedo of Tau Ceti,99,Plasma,737,Solid Fuel Rocket,353,Silicon Carbide,352,Disco Light,960
731,1821,Quantum Ultimatum Cruiser of Scorpio,1,Dolphin,345,Starburst Stream,610,Electromagnetic Pulse Bomb of Aquarius,29,Quantum,709,Fission-Fragment,352,Gold,559,Cocktail Bar of Sagittarius,36
732,7082,Tanker,343,Admiral Kuznetsov,328,Starburst Stream,610,Spatial Torpedo,608,Electromagnetic,678,Magnetoplasmadynamic Thruster of Leo,71,Silicon Carbide of Leo,33,Disco Light,960
733,2418,Transport Ship,346,Liaoning,323,Lightning Voyager Plasma Beam of Virgo +1,6,Electromagnetic Pulse Bomb,560,Quantum,709,Kryptonite Thruster,405,Wooden,407,Cocktail Bar,978
734,443,Einstein-Rosen Catastrophe Tanker of Gemini +1,1,Missouri,309,Proton Beam,567,Positron Torpedo,576,Electromagnetic of Virgo,7,Fission-Electric,407,Einstein-Rosen Catastrophe Glass of Gemini +1,3,Warp Core,962
735,3015,Supply Ship,359,Anti-gravitational Voyager Missouri of Pisces +1,3,Soliton Canon of Capricorn,78,Rail Gun,551,Plasma,737,Ion Thruster,386,Tungsten Carbide,571,Tractor Beam,917
736,2203,Medical,325,Kirov,314,Soliton Canon,568,Electromagnetic Pulse Bomb,560,Einstein-Rosen The Tyrant Dark Energy of Gemini +1,2,Fission-Electric,407,Titanium,382,Cocktail Bar,978
737,1302,Galactic Deluxe Twin Bed Carrier of Wolf 1961,1,Kirov,314,Photon Beam of Gemini,30,Fractional Orbital Bombardment of Capricorn,80,Electromagnetic,678,Light Sail of Taurus,79,Graphene,349,Tractor Beam of Gliese 667C,43
738,3076,Supply Ship,359,Brandenburg,320,Proton Beam of Libra,76,Galactic The Destroyer Photon Torpedo of Wolf 1961,4,Gamma of Cancer,18,Antimatter Rocket,395,Copper,402,Tractor Beam of Virgo,31
739,118,Frigate,328,Arleigh Burke,327,Gravity Canon of Virgo,39,Kinetic Energy Blast,610,Flaming Catastrophe Nuclear of Gliese 667C +1,1,Lightning Catastrophe Infinite Improbability Drive of Virgo +1,7,Adamantium,407,Subatomic Catastrophe Disco Light of Taurus,3
740,5755,Minesweeper,339,Admiral Kuznetsov,328,Proton Beam,567,Positron Torpedo,576,Gamma of Leo,15,Light Sail,370,Adamantium,407,Escape Pod,930
741,2158,Minelayer,350,Anti-gravitational Catastrophe Missouri of Pisces +1,2,Soliton Canon,568,Photon Torpedo of Virgo,38,Electromagnetic of Gemini,15,Fusion-Electric,384,Wooden,407,Disco Light,960
742,5134,Tanker of Pisces,6,Koni,292,Gravity Canon,567,Thermonuclear Bomb,514,Dark Energy,707,Solid Fuel Rocket of Cancer,147,Glass,349,Warp Core,962
743,5159,Battleship,328,Cavour,328,Gravity Canon,567,Spatial Torpedo,608,Gamma of Aquarius,11,Ion Thruster,386,Copper of Aries,29,Warp Core of Aries,94
744,7341,Science Vessel,336,Enterprise,319,Photon Beam,588,Photon Torpedo of Virgo,38,Nuclear,711,Alcubierre Drive,378,Copper,402,Warp Core of Aries,94
745,7023,Tanker,343,Kongo,307,Gravity Canon,567,Thermonuclear Bomb of Tau Ceti,60,Gamma,755,Ion Thruster,386,Carbon Fibre of Leo,36,Disco Light,960
746,7817,Frigate,328,Rutherford,352,Proton Beam,567,Hydrogen Bomb of Aries,83,Gravitational,689,Fission-Fragment,352,Titanium,382,Warp Core,962
747,1281,Destroyer of Capricorn,13,Kirov,314,Proton Beam,567,Fractional Orbital Bombardment of Capricorn,80,Lightning Deluxe Twin Bed Gamma of Virgo +1,3,Magnetic Sail of Gemini,92,Beryllium of Cancer,40,Cocktail Bar,978
748,3367,Destroyer of Leo,4,Admiral Kuznetsov,328,Photon Beam,588,Gravimetric Torpedo,540,Nuclear of Tau Ceti,20,Infinite Improbability Drive,354,Tungsten Carbide,571,Galactic Voyager Disco Light of Wolf 1961,4
749,4781,Cruiser,363,Rutherford,352,Doomsday Catastrophe Particle Beam of Leo,8,Photon Torpedo,582,Dark Energy,707,Nuclear Fusion,365,Titanium of Capricorn,44,Escape Pod of Capricorn,92
750,7139,Carrier,289,Ticonderoga,302,Soliton Canon,568,Thermonuclear Bomb of Leo,34,Quasar,728,Infinite Improbability Drive of Virgo,83,Copper,402,Tractor Beam,917
751,3464,Destroyer,321,Enterprise of Aries,27,Einstein-Rosen The Benevolent Soliton Canon of Gemini +1,5,Fractional Orbital Bombardment,585,Gravitational,689,Alcubierre Drive,378,Graphene,349,Killer Drone,962
752,7299,Science Vessel,336,Incheon,306,Particle Beam,574,Thermonuclear Bomb,514,Gamma,755,Fusion-Fragment,354,Polystyrene,404,Killer Drone of Scorpio,45
753,6126,Minesweeper,339,Kongo,307,Soliton Canon,568,Fractional Orbital Bombardment,585,Gravitational,689,Magnetic Sail,378,Graphene,349,Warp Core,962
754,6442,Tug,343,Enterprise,319,Gravity Canon,567,Positron Torpedo,576,Quantum,709,Magnetoplasmadynamic Thruster,400,Polystyrene,404,Warp Core,962
755,6774,Science Vessel,336,Brandenburg,320,Gravity Canon,567,Photon Torpedo,582,Quasar of Capricorn,25,Solid Fuel Rocket,353,Diamond,387,Warp Core of Cancer,74
756,1941,Battleship,328,Dolphin,345,Plasma Beam,578,Rail Gun of Sagittarius,40,Lightning Ultimatum Quasar of Virgo +1,1,Nuclear Fusion,365,Tungsten Carbide,571,Disco Light,960
757,6180,Tug,343,Liaoning,323,Pulse Canon,612,Thermonuclear Bomb,514,Gravitational,689,Nuclear Pulse,390,Graphene,349,Escape Pod,930
758,7577,Cargo,327,Admiral Kuznetsov,328,Plasma Beam of Aries,65,Rail Gun,551,Gamma,755,Nuclear Fusion of Pisces,74,Carbon Fibre,379,Cocktail Bar,978
759,870,Dreadnought,350,Quantum Havoc Koni of Scorpio,1,Tetryon Canon,578,Lightning Catastrophe Hydrogen Bomb of Virgo +1,4,Nuclear of Aries,21,Solid Fuel Rocket,353,Adamantium,407,Disco Light,960
760,4685,Battleship of Aries,17,Missouri,309,Proton Beam,567,Electromagnetic Pulse Bomb of Cancer,79,Quasar,728,Solid Fuel Rocket of Cancer,147,Titanium of Cancer,37,Warp Core,962
761,2342,Courier,326,Virginia,305,Proton Beam,567,Hydrogen Bomb,569,Quantum,709,Fusion-Electric of Libra,158,Gold,559,Anti-gravitational The Powerful Cocktail Bar of Pisces +1,4
762,7564,Dreadnought,350,Nimitz,316,Starburst Stream of Cancer,62,Spatial Torpedo,608,Nuclear,711,Magnetoplasmadynamic Thruster,400,Titanium,382,Warp Core,962
763,4042,Science Vessel,336,Cavour,328,Starburst Stream,610,Photon Torpedo,582,Gravitational,689,Antimatter Rocket,395,Vibranium,377,Flaming The Indestructable Cocktail Bar of Gliese 667C +1,10
764,3672,Minelayer,350,Incheon of Cancer,27,Starburst Stream,610,Photon Torpedo of Virgo,38,Quasar,728,Einstein-Rosen The Tyrant Magnetic Sail of Gemini +1,10,Tungsten Carbide,571,Tractor Beam,917
765,3711,Cruiser of Libra,6,Koni,292,Proton Beam,567,Positron Torpedo,576,Plasma of Gemini,8,Quantum The Indestructable Fusion-Fragment of Scorpio,8,Polystyrene,404,Warp Core,962
766,3937,Carrier of Libra,8,Soryu,338,Plasma Beam,578,Subatomic Catastrophe Gravimetric Torpedo of Taurus,5,Gamma,755,Fission-Electric,407,Glass,349,Tractor Beam of Gliese 667C,43
767,1485,Minelayer of Aries,5,Koni,292,Tetryon Canon,578,Rail Gun,551,Quantum of Aries,19,Einstein-Rosen Havoc Magnetic Sail of Gemini +1,9,Polystyrene of Sagittarius,37,Escape Pod,930
768,5995,Dreadnought,350,Arleigh Burke of Aquarius,20,Pulse Canon,612,Gravimetric Torpedo,540,Quantum,709,Infinite Improbability Drive,354,Graphene,349,Cocktail Bar of Pisces,42
769,3878,Cruiser,363,Galactic Havoc Arleigh Burke of Wolf 1961,3,Tetryon Canon,578,Spatial Torpedo,608,Electromagnetic,678,Fission-Fragment,352,Silicon Carbide,352,Tractor Beam,917
770,1107,Battleship,328,Rutherford,352,Pulse Canon,612,Einstein-Rosen The Indestructable Positron Torpedo of Gemini +1,3,Supercosmic Voyager Dark Energy of Aquarius,2,Kryptonite Thruster,405,Tungsten Carbide,571,Tractor Beam,917
771,5522,Science Vessel,336,Kongo,307,Proton Beam,567,Rail Gun,551,Quasar of Leo,10,Nuclear Fusion,365,Graphene of Gliese 667C,44,Disco Light,960
772,6711,Courier,326,Arleigh Burke,327,Gravity Canon of Wolf 1961,27,Spatial Torpedo,608,Quantum,709,Alcubierre Drive,378,Graphene,349,Warp Core,962
773,5640,Battleship of Cancer,13,Kongo,307,Proton Beam,567,Photon Torpedo,582,Quasar,728,Kryptonite Thruster,405,Glass,349,Cocktail Bar,978
774,7387,Destroyer,321,Liaoning,323,Electron Beam of Taurus,46,Photon Torpedo,582,Gamma,755,Fusion-Fragment,354,Beryllium,383,Killer Drone,962
775,5811,Destroyer,321,Kirov of Aquarius,14,Particle Beam of Leo,49,Spatial Torpedo,608,Quantum,709,Fusion-Fragment,354,Copper,402,Escape Pod,930
776,2311,Frigate of Libra,8,Subatomic The Powerful Kirov of Taurus,2,Pulse Canon of Tau Ceti,79,Spatial Torpedo,608,Quasar,728,Alcubierre Drive,378,Copper of Tau Ceti,40,Tractor Beam,917
777,4969,Medical,325,Dolphin,345,Starburst Stream,610,Photon Torpedo,582,Electromagnetic of Sagittarius,7,Nuclear Pulse,390,Copper,402,Warp Core,962
778,1808,Flaming Adventurer Minesweeper of Gliese 667C +1,2,Barracuda,297,Tetryon Canon,578,Electromagnetic Pulse Bomb of Sagittarius,40,Quantum,709,Magnetoplasmadynamic Thruster,400,Titanium,382,Escape Pod,930
779,7097,Transport Ship,346,Arleigh Burke,327,Particle Beam,574,Rail Gun of Aquarius,37,Quasar,728,Alcubierre Drive,378,Gold,559,Killer Drone,962
780,1241,Scout Ship of Pisces,7,Overclocked The Tyrant Rutherford of Sagittarius +1,2,Photon Beam of Capricorn,79,Gravimetric Torpedo,540,Quantum,709,Ion Thruster,386,Graphene of Gliese 667C,44,Killer Drone,962
781,7465,Cargo,327,Ticonderoga,302,Particle Beam of Leo,49,Gravimetric Torpedo,540,Gravitational,689,Infinite Improbability Drive,354,Gold,559,Escape Pod,930
782,1675,Cruiser,363,Enterprise,319,Photon Beam,588,Electromagnetic Pulse Bomb,560,Lightning The Indestructable Gravitational of Virgo +1,1,Fusion-Fragment,354,Polystyrene,404,Cocktail Bar,978
783,5073,Transport Ship,346,Kongo,307,Photon Beam,588,Thermonuclear Bomb of Tau Ceti,60,Plasma,737,Ion Thruster of Wolf 1961,84,Graphene of Sagittarius,36,Warp Core of Cancer,74
784,4817,Science Vessel,336,Missouri,309,Doomsday The Destroyer Particle Beam of Leo,6,Thermonuclear Bomb,514,Gamma,755,Infinite Improbability Drive,354,Vibranium of Tau Ceti,42,Cocktail Bar,978
785,4992,Minelayer,350,Liaoning of Capricorn,33,Plasma Beam of Aries,65,Thermonuclear Bomb,514,Nuclear,711,Fission-Fragment of Capricorn,172,Carbon Fibre of Leo,36,Escape Pod,930
786,3283,Battleship,328,Enterprise of Capricorn,17,Quantum Adventurer Photon Beam of Scorpio,2,Photon Torpedo,582,Quasar,728,Alcubierre Drive of Tau Ceti,142,Titanium,382,Tractor Beam,917
787,2870,Scout Ship,335,Rutherford,352,Electron Beam of Gliese 667C,46,Hydrogen Bomb,569,Doomsday The Destroyer Gravitational of Leo,1,Fusion-Fragment,354,Glass,349,Disco Light,960
788,4497,Transport Ship,346,Supercosmic The Benevolent Arleigh Burke of Aquarius,4,Starburst Stream,610,Photon Torpedo,582,Plasma,737,Nuclear Pulse of Aquarius,79,Gold,559,Disco Light,960
789,1487,Courier,326,Cavour,328,Subatomic The Indestructable Proton Beam of Taurus,5,Positron Torpedo,576,Plasma,737,Lightning Voyager Infinite Improbability Drive of Virgo +1,7,Beryllium,383,Tractor Beam,917
790,7132,Supply Ship,359,Koni,292,Plasma Beam,578,Rail Gun of Sagittarius,40,Gamma,755,Fission-Fragment,352,Silicon Carbide,352,Disco Light,960
791,7142,Minelayer,350,Arleigh Burke,327,Photon Beam,588,Gravimetric Torpedo,540,Dark Energy,707,Kryptonite Thruster of Sagittarius,66,Vibranium of Capricorn,36,Tractor Beam,917
